,state,bb,bb_all_rural,bb_rural,bb_urban,fcc,fcc_all_rural,fcc_rural,fcc_urban
39,RI,0.745320436608786,,,0.745320436608786,0.985773718157609,,,0.985773718157609
40,SC,0.5367821116348895,0.2675884367128464,0.28443034607142276,0.6068161850215302,0.906451336046201,0.630724264011335,0.769913135745718,0.9452566819220453
41,SD,0.5543561903779333,0.35028662262546395,0.3893940795985543,0.6275224018732709,0.9484893528668338,0.8828610612690849,0.8489894781667934,0.9754211604435027
42,TN,0.5427206310012204,0.22022403255405731,0.3851243263726394,0.6223213277572824,0.9352624515509906,0.7940655413707811,0.8588806578979015,0.9729798888874212
43,TX,0.64990750778517,0.20993290466456052,0.3177093522775195,0.689152706183711,0.9553520159678262,0.724523018026389,0.8420356566025677,0.969701692065792
44,UT,0.8046684945285351,0.38944664432145915,0.3891308387122361,0.822492349442438,0.957047538374426,0.9371574479694442,0.7541973328574121,0.9648635677169902
45,VA,0.6823793274680222,0.2425086791248408,0.3812933746165291,0.793945670228927,0.939665790459851,0.775656322353292,0.8503593910385336,0.9749081942504095
46,VT,0.5277130154488838,0.3301859553389314,0.4828468634472528,0.699,0.930773076880051,0.8958474901327119,0.9168384041998401,0.9775999999999999
47,WA,0.7084406656812214,0.2090315234375,0.3298874575292868,0.7305806296816922,0.9622059969603869,0.7848518769531249,0.8726007379081452,0.9679221063327443
48,WI,0.5695829105258918,0.27012622795372654,0.3581976685083178,0.6320381105033911,0.9308842408439197,0.7756297288071307,0.7883217718638237,0.9713415678580299
49,WV,0.3593612321464614,0.14858012486992714,0.20835213554329718,0.4747089649322571,0.8217105089385068,0.5977211975921708,0.7576132845990777,0.889502910710252
50,WY,0.5090308413735349,0.2611657772695508,0.3320667523340574,0.5616301454051829,0.9266102484626328,0.8635473127501428,0.8619695395567283,0.943876201860844
